| Nombre | Modelo | DESCRIPCION | PRECIO |
| Lector Biométrico Esclavo F12 | F12 | LECTOR ESCLAVO / HUELLA DIGITAL / LECTOR DE TARJETAS DE PROXIMIDAD / RS-485 / INTERIOR Y EXTERIOR / REQUIERE PANEL DE CONTROL DE ACCESO ACCESSPRO, ZKTECO O BIOMÉTRICO STANDALONE | 2000.00 |
| Lector RFID Largo Alcance PRO-12RF | PRO-12RF | LECTOR RFID DE LARGO ALCANCE PARA CONTROL DE ACCESO VEHICULAR, HASTA 12 M LINEALES DE COBERTURA, UHF 902-928MHZ | 8115.00 |
| Mástil LED para Barreras XBF-ARMLED | XBF-ARMLED | MÁSTIL RECTO ILUMINACIÓN LED ROJO/VERDE COMPATIBLE CON BARRERAS INDUSTRIAL BY ACCESSPRO | 3900.00 |
| Mini Domo PTZ 4x EPMD4X-V2 | EPMD4X-V2 | MINI DOMO PTZ ANTI-VANDALICO IP66 4X ZOOM HD-TVI 2 MEGAPIXELES (1080P) | 2611.00 |
| Módulo Expansor 8 Zonas HSM2108 | HSM2108 | MÓDULO EXPANSOR DE 8 ZONAS CABLEADAS COMPATIBLE CON PANEL NEO, PRO #LOSPRINCIPALES | 945.15 |
| Monitor 7" KCV-S701M | KCV-S701M | MONITOR A COLOR "7 PARA USO CON KCVS701 | 2500.00 |
| Monitor IP Lite 7" DS-KH6220-LE1 | DS-KH6220-LE1 | MONITOR IP LITE (NO TOUCH) PARA VIDEOPORTERO IP / APERTURA REMOTA Y VIDEO EN VIVO / POE ESTÁNDAR / PRINCIPAL O ESCLAVO | 2450.00 |
| Monitor IP Touch 7" WiFi DS-KH6320-WTE1 | DS-KH6320-WTE1 | MONITOR IP WIFI TOUCH SCREEN 7" PARA VIDEOPORTERO IP / VÍDEO EN VIVO / POE ESTÁNDAR / APERTURA REMOTA / LLAMADA ENTRE MONITORES / AUDIO DE DOS VÍAS / POLICARBONATO | 2631.81 |
| Montaje para Domo PTZ DS-1602ZJ | DS-1602ZJ | MONTAJE DE PARED PARA INTERIOR O EXTERIOR COMPATIBLE CON DOMOS PTZ HIKVISION | 550.00 |
| Motor para Puerta de Garage ACCESSFORCE | ACCESSFORCE | MOTOR PARA PUERTAS DE GARAGE/1/2HP/FUERTE/ILUMINACIÓN LED/433MHZ/RIEL TIPO "T" INCLUYE: OPERADOR DE PUERTA DE GARAGE.. | 4788.00 |
| Motor para Puerta de Garage FS1000SPEED | FS1000SPEED | MOTOR PARA PUERTAS DE GARAGE/1/2HP/FUERTE/SILENCIOSO/LUZ LED/MOTOR DC/RESPALDO DE BATERÍA/RIEL TIPO "C". | 3610.00 |
| Operador para Puerta Abatible 801MP-0080 | 801MP-0080 | OPERADOR ATS PARA PUERTAS ABATIBLES DE HASTA 5 MTS Y 400 KGS / USO SEMI-INTENSIVO / NO INCLUYE CUADRO DE MANDO | 12465.00 |
| Panel de Parcheo 24 Puertos LP-PP-605A | LP-PP-605A | PANEL DE PARCHEO DE IMPACTO (110) UTP DE 24 PUERTOS CAT6A, 19IN | 860.00 |
| Plugs RJ45 para CAT5e TC5WT | TC5WT | PLUGS DE CAMPO RJ45 PARA CABLE CAT5E SIN USO DE HERRAMIENTAS | 10.00 |
| Portero IP 2 Líneas I20S | I20S | PORTERO IP CON 2 LINEAS SIP, REVELADOR INTEGRADO, TECLADO NÚMERICO Y LECTORE DE TARJETAS RFID PARA CONTROL DE ACCESO | 5200.00 |
| Receptor Inalámbrico Externo XB-REC2 | XB-REC2 | RECEPTOR INALÁMBRICO EXTERNO DE 2 CANALES PARA CONTROLES ACCESSPRO | 594.83 |
| Receptor Inalámbrico 433MHz 001-AF-43S | 001-AF-43S | RECEPTOR INALÁMBRICO.FRECUENCIA DE 433.92 MHZ | 978.00 |
| Riel Tipo C ACCESSRAILC3 | ACCESSRAILC3 | RIEL TIPO C / COMPATIBLE CON MOTOR ACCESSFORCE Y FS1000SPEED. | 1366.71 |
| Lectora de Proximidad con Teclado AY-F64 | AY-F64 | ROSSLARE, LECTORA DE PROXIMIDAD CON TECLADO DE USO EXTERIOR / SALIDA WIEGAND | 1660.09 |
| Semáforo de Señalización PRO-LIGHT-LED | PRO-LIGHT-LED | SEMÁFORO DE SEÑALIZACIÓN ROJO Y VERDE | 5400.56 |
| Soporte para Baterías HOLDER-BAT | HOLDER-BAT | SOPORTE / BATERÍAS DE RESPALDO | 300.00 |
| Soporte Desgondable para Barreras XBA-DROPARM | XBA-DROPARM | SOPORTE DEGONDABLE PARA BRAZO DE BARRERAS INDUSTRIAL BY ACCESSPRO | 990.00 |
| Switch Gigabit 24 Puertos GSW2401 | GSW2401 | SWITCH NO ADMINISTRABLE GIGABIT DE 24 PUERTOS 10/100/1000 MBPS, CON MODO EXTENDIDO PARA ENVIÓ DE DATOS DE HASTA 200 M | 2764.46 |
| Switch PoE 5 Puertos TL-SF1005P | TL-SF1005P | SWITCH POE NO ADMINISTRABLE DE ESCRITORIO 5 PUERTOS 10/100 MBPS, 4 PUERTOS POE, 58 W | 3260.09 |
| Switch PoE+ 8 Puertos DS-3E0109P-E/M(B) | DS-3E0109P-E/M(B) | SWITCH POE+ / NO ADMINISTRABLE / 8 PUERTOS 10/100 MBPS POE+ / 1 PUERTO 100 MBPS UPLINK / POE HASTA 250 METROS / 60 W | 1946.25 |
| Tag UHF Tipo Tarjeta ACCESS-CARD-EPC | ACCESS-CARD-EPC | TAG UHF TIPO TARJETA PARA LECTORAS DE LARGO ALCANCE 900 MHZ / EPC GEN 2 / ISO 18000 6C / NO IMPRIMIBLE / NO INCLUYE PORTA TARJETA | 83.64 |
| Tarjeta de Proximidad Estándar ATR-14 | ATR-14 | TARJETA DE PROXIMIDAD ESTÁNDAR, PERFORADA (GRUESA), FABRICADA CON EL PVC MÁS RESISTENTE DE LA INDUSTRIA | 80.00 |
| Tarjeta Electrónica para Barreras XBSFS7PCB | XBSFS7PCB | TARJETA ELECTRÓNICA PARA BARRERAS XBS6M Y XBF4M | 2850.00 |
| Tarjeta Madre para Electrificador TARJETARCP1600 | TARJETARCP1600 | TARJETA MADRE DE ELECTRIFICADOR PARA CERCAS 1.6 J (PLASTICO) | 3500.00 |
| Tarjeta MIFARE 4K ACCESS-CARD-M4K | ACCESS-CARD-M4K | TARJETA MIFARE CLASSIC / TIPO ISO CARD / MEMORIA 4KB / IMPRIMIBLE / FRECUENCIA 13.56 MHZ/ FORMATO CR80 | 35.42 |
| Tarjeta Módulo ATL MODATL01 | MODATL01 | TARJETA MODULO ATL | 1790.00 |
| Tarjeta Proximidad Delgada EM ACCESS-ISO-CARD | ACCESS-ISO-CARD | TARJETA PROXIMIDAD DELGADA 125 KHZ (TIPO EM) / IMPRIMIBLE | 51.72 |
| Tarjeta PVC MIFARE ATT-512 | ATT-512 | TARJETA PVC MIFARE / FRECUENCIA 13.56 MHZ / TIPO ISO PROX / IMPRIMIBLE | 90.00 |
| Tensor Plástico para Cerco SFTENSOR | SFTENSOR | TENSOR DE PLASTICO PARA ALAMBRE DE CERCO ELECTRICO | 25.00 |
| Terminal de Control y Asistencia DS-K1T8003EF | DS-K1T8003EF | TERMINAL DE CONTROL DE ACCESO Y ASISTENCIA COMPATIBLE CON APP HIK-CONNECT (P2P) / LECTURA DE HUELLA Y DE TARJETAS EM / SOPORTA HASTA 1000 HUELLAS / RELEVADOR PARA CHAPA / SOFTWARE IVMS4200 | 2200.00 |
| Terminal de Reconocimiento Facial DS-K1T341AMF | DS-K1T341AMF | TERMINAL DE RECONOCIMIENTO FACIAL ULTRA RÁPIDO (IP65) / HASTA 1.5 MTS EN LECTURA / SOPORTA P2P HIK-CONNECT / 3,000 USUARIOS /QR Y VIDEOPORTERO (AMBIENTES DE BAJO RUIDO) | 3197.02 |
| Terminal Biométrico WiFi DS-K1T320MFWX | DS-K1T320MFWX | TERMINAL MIN MOE WIFI DE HUELLA, FACIAL Y TARJETAS MIFARE PARA CONTROL DE ACCESO O ASISTENCIA / 500 ROSTROS Y 1,000 HUELLAS Y TARJETAS / DETECCIÓN DE CUBREBOCAS / HIKCONNECT | 1790.89 |
| Torniquete Industrial Exterior AP2002HD | AP2002HD | TORNIQUETE INDUSTRIAL EN ACERO INOXIDABLE, BIDIRECCIONAL, ESPACIO PARA LECTORA DE PROXIMIDAD, USO 100% EXTERIOR | 25830.22 |
| Torniquete Tipo Bandera SBT-1000S | SBT-1000S | TORNIQUETE TIPO BANDERA / FABRICADO EN ACERO / HOJA DE CRISTAL TEMPLADO / ACABADO DE LUJO / ILUMINACIÓN LEDS / BASE PARA LECTORA | 27589.66 |
| Videoportero 7" KCV-S701EB | KCV-S701EB | VIDEOPORTERO A COLOR DE 7" (MONITOR Y FRENTE DE CALLE), MANOS LIBRES/EXPANDIBLE A UN TOTAL DE 3 MONITORES | 2900.00 |
| Videoportero con Mirilla WiFi DP1C | DP1C | VIDEOPORTERO CON MIRILLA Y PANTALLA WI-FI DE BATERÍA RECARGABLE / PARA INSTALARSE EN PUERTA / CÁMARA 720P / SENSOR PIR / DETECCIÓN DE MOVIMIENTO / AUDIO DE DOS VÍAS / USO EN INTERIOR | 3800.00 |
| Videoportero IP WiFi DS-KV6113-WPE1(B) | DS-KV6113-WPE1(B) | VIDEOPORTERO IP WIFI 2 MP / POE ESTANDAR / IP65 / APERTURA DESDE HIK-CONNECT / SOPORTA 1 DEPARTAMENTO Y HASTA 6 MONITORES / SOPORTA TARJETAS MIFARE / 1 SALIDA RELAY | 2690.00 |
